"Subject" "Activity" "variable" "mean" "median"
1 "LAYING" "tBodyAcc.mean...X" 0.22159824394 0.27806494
1 "LAYING" "tBodyAcc.mean...Y" -0.0405139534294 -0.0176645035
1 "LAYING" "tBodyAcc.mean...Z" -0.11320355358 -0.1081825
1 "LAYING" "tGravityAcc.mean...X" -0.24888179828 -0.208675215
1 "LAYING" "tGravityAcc.mean...Y" 0.70554977346 0.77280839
1 "LAYING" "tGravityAcc.mean...Z" 0.4458177198 0.54420675
1 "LAYING" "tBodyAccJerk.mean...X" 0.0810865342 0.0753793745
1 "LAYING" "tBodyAccJerk.mean...Y" 0.0038382040088 0.0111022745
1 "LAYING" "tBodyAccJerk.mean...Z" 0.010834236361 -0.00153414725
1 "LAYING" "tBodyGyro.mean...X" -0.016553093978 -0.02769875
1 "LAYING" "tBodyGyro.mean...Y" -0.064486124088 -0.0745562315
1 "LAYING" "tBodyGyro.mean...Z" 0.14868943626 0.086943931
1 "LAYING" "tBodyGyroJerk.mean...X" -0.107270949192 -0.098871363
1 "LAYING" "tBodyGyroJerk.mean...Y" -0.04151728689 -0.0400846985
1 "LAYING" "tBodyGyroJerk.mean...Z" -0.0740501211 -0.057130306
1 "LAYING" "tBodyAccMag.mean.." -0.8419291525 -0.98189317
1 "LAYING" "tGravityAccMag.mean.." -0.8419291525 -0.98189317
1 "LAYING" "tBodyAccJerkMag.mean.." -0.9543962646 -0.99125267
1 "LAYING" "tBodyGyroMag.mean.." -0.874759548 -0.969165675
1 "LAYING" "tBodyGyroJerkMag.mean.." -0.96346103 -0.99585987
1 "LAYING" "fBodyAcc.mean...X" -0.9390990524 -0.9894907
1 "LAYING" "fBodyAcc.mean...Y" -0.86706520518 -0.98782049
1 "LAYING" "fBodyAcc.mean...Z" -0.8826668762 -0.98865426
1 "LAYING" "fBodyAcc.meanFreq...X" -0.158792670508 -0.0987951645
1 "LAYING" "fBodyAcc.meanFreq...Y" 0.097534841586 0.2245126
1 "LAYING" "fBodyAcc.meanFreq...Z" 0.08943765522 0.18282329
1 "LAYING" "fBodyAccJerk.mean...X" -0.9570738838 -0.99098138
1 "LAYING" "fBodyAccJerk.mean...Y" -0.9224626098 -0.98922649
1 "LAYING" "fBodyAccJerk.mean...Z" -0.9480609042 -0.990338345
1 "LAYING" "fBodyAccJerk.meanFreq...X" 0.132419092398 0.169116225
1 "LAYING" "fBodyAccJerk.meanFreq...Y" 0.024513618956 0.103969235
1 "LAYING" "fBodyAccJerk.meanFreq...Z" 0.02438794528 0.09188462
1 "LAYING" "fBodyGyro.mean...X" -0.850249174586 -0.977762395
1 "LAYING" "fBodyGyro.mean...Y" -0.9521914948 -0.994062645
1 "LAYING" "fBodyGyro.mean...Z" -0.909302721 -0.97381654
1 "LAYING" "fBodyGyro.meanFreq...X" -0.003546795856 0.038036782
1 "LAYING" "fBodyGyro.meanFreq...Y" -0.091529130882 -0.112203045
1 "LAYING" "fBodyGyro.meanFreq...Z" 0.01045812566 0.033691736
1 "LAYING" "fBodyAccMag.mean.." -0.8617676481 -0.9881606
1 "LAYING" "fBodyAccMag.meanFreq.." 0.08640856294 0.041609129
1 "LAYING" "fBodyBodyAccJerkMag.mean.." -0.9333003608 -0.99263711
1 "LAYING" "fBodyBodyAccJerkMag.meanFreq.." 0.26639115416 0.325005405
1 "LAYING" "fBodyBodyGyroMag.mean.." -0.8621901854 -0.97486601
1 "LAYING" "fBodyBodyGyroMag.meanFreq.." -0.1397750127 -0.1820316
1 "LAYING" "fBodyBodyGyroJerkMag.mean.." -0.9423669466 -0.996359345
1 "LAYING" "fBodyBodyGyroJerkMag.meanFreq.." 0.17648590708 0.24954777
1 "LAYING" "tBodyAcc.std...X" -0.9280564692 -0.988714695
1 "LAYING" "tBodyAcc.std...Y" -0.83682740562 -0.98603146
1 "LAYING" "tBodyAcc.std...Z" -0.826061401628 -0.98643228
1 "LAYING" "tGravityAcc.std...X" -0.8968300184 -0.98853962
1 "LAYING" "tGravityAcc.std...Y" -0.90772000676 -0.988951675
1 "LAYING" "tGravityAcc.std...Z" -0.85236629022 -0.986661095
1 "LAYING" "tBodyAccJerk.std...X" -0.958482112 -0.99133982
1 "LAYING" "tBodyAccJerk.std...Y" -0.9241492736 -0.98927464
1 "LAYING" "tBodyAccJerk.std...Z" -0.9548551108 -0.991957715
1 "LAYING" "tBodyGyro.std...X" -0.87354386782 -0.97684234
1 "LAYING" "tBodyGyro.std...Y" -0.9510904402 -0.992602475
1 "LAYING" "tBodyGyro.std...Z" -0.9082846626 -0.97451677
1 "LAYING" "tBodyGyroJerk.std...X" -0.9186085208 -0.993746415
1 "LAYING" "tBodyGyroJerk.std...Y" -0.9679072436 -0.99626774
1 "LAYING" "tBodyGyroJerk.std...Z" -0.9577901596 -0.994051515
1 "LAYING" "tBodyAccMag.std.." -0.79514486386 -0.986077485
1 "LAYING" "tGravityAccMag.std.." -0.79514486386 -0.986077485
1 "LAYING" "tBodyAccJerkMag.std.." -0.9282456284 -0.993293945
1 "LAYING" "tBodyGyroMag.std.." -0.81901016976 -0.965152985
1 "LAYING" "tBodyGyroJerkMag.std.." -0.9358409828 -0.99665375
1 "LAYING" "fBodyAcc.std...X" -0.9244374346 -0.989380115
1 "LAYING" "fBodyAcc.std...Y" -0.8336255561 -0.984862015
1 "LAYING" "fBodyAcc.std...Z" -0.81289155944 -0.98845735
1 "LAYING" "fBodyAccJerk.std...X" -0.9641607086 -0.992096085
1 "LAYING" "fBodyAccJerk.std...Y" -0.9322178704 -0.989831285
1 "LAYING" "fBodyAccJerk.std...Z" -0.9605869872 -0.991673325
1 "LAYING" "fBodyGyro.std...X" -0.8822964508 -0.97659292
1 "LAYING" "fBodyGyro.std...Y" -0.9512320494 -0.99143866
1 "LAYING" "fBodyGyro.std...Z" -0.9165825082 -0.979968245
1 "LAYING" "fBodyAccMag.std.." -0.7983009404 -0.98584627
1 "LAYING" "fBodyBodyAccJerkMag.std.." -0.9218039756 -0.99228822
1 "LAYING" "fBodyBodyGyroMag.std.." -0.82431943968 -0.966293765
1 "LAYING" "fBodyBodyGyroJerkMag.std.." -0.9326606676 -0.99670628
1 "SITTING" "tBodyAcc.mean...X" 0.261237565425532 0.27727452
1 "SITTING" "tBodyAcc.mean...Y" -0.00130828765170213 -0.015873588
1 "SITTING" "tBodyAcc.mean...Z" -0.104544182255319 -0.10949351
1 "SITTING" "tGravityAcc.mean...X" 0.831509933404255 0.87410872
1 "SITTING" "tGravityAcc.mean...Y" 0.204411592680851 0.1456773
1 "SITTING" "tGravityAcc.mean...Z" 0.332043702765957 0.32520586
1 "SITTING" "tBodyAccJerk.mean...X" 0.0774825199574468 0.075451243
1 "SITTING" "tBodyAccJerk.mean...Y" -0.000619102785106384 0.0099012407
1 "SITTING" "tBodyAccJerk.mean...Z" -0.00336779235021277 -0.00060033363
1 "SITTING" "tBodyGyro.mean...X" -0.045350056512766 -0.028211664
1 "SITTING" "tBodyGyro.mean...Y" -0.0919241549361702 -0.074553856
1 "SITTING" "tBodyGyro.mean...Z" 0.0629313811914894 0.086518022
1 "SITTING" "tBodyGyroJerk.mean...X" -0.0936793807234043 -0.097585544
1 "SITTING" "tBodyGyroJerk.mean...Y" -0.0402118124255319 -0.03994669
1 "SITTING" "tBodyGyroJerk.mean...Z" -0.046702627 -0.055327731
1 "SITTING" "tBodyAccMag.mean.." -0.948536786170213 -0.99223301
1 "SITTING" "tGravityAccMag.mean.." -0.948536786170213 -0.99223301
1 "SITTING" "tBodyAccJerkMag.mean.." -0.987364195531915 -0.99352627
1 "SITTING" "tBodyGyroMag.mean.." -0.93089249 -0.98533998
1 "SITTING" "tBodyGyroJerkMag.mean.." -0.991976341276596 -0.99721137
